| Run # | Data Size (KB) | Read Intensity Ratio (% Read) | Delay  | Latency (ns) | BW (MB/sec) |
|-------|------|-------|--------|--------------|-------------|
| 1     | 4  | 100   | 0      | 1.63         | 283075.7    |
| 2     | 4  | 100   | 2      | 4.16         | 129797.4    |
| 3     | 4  | 100   | 8      | 5.61         | 80507.2     |
| 4     | 4  | 100   | 15     | 6.06         | 50775.7     |
| 5     | 4  | 100   | 50     | 6.4          | 24392.3     |
| 6     | 4  | 100   | 100    | 6.91         | 18367.1     |
| 7     | 4  | 100   | 200    | 5.01         | 18598       |
| 8     | 4  | 100   | 300    | 6.77         | 13469.2     |
| 9     | 4  | 100   | 400    | 6.14         | 13473.7     |
| 10    | 4  | 100   | 500    | 4.29         | 17373.3     |
| 11    | 4  | 100   | 700    | 2.24         | 30204.2     |
| 12    | 4  | 100   | 1000   | 4.72         | 14738.3     |
| 13    | 4  | 100   | 1300   | 4.28         | 15965.8     |
| 14    | 4  | 100   | 1700   | 4.47         | 15069       |
| 15    | 4  | 100   | 2500   | 4.55         | 14536.7     |
| 16    | 4  | 100   | 3500   | 4.31         | 15260.3     |
| 17    | 4  | 100   | 5000   | 4.9          | 13333.1     |
| 18    | 4  | 100   | 9000   | 5.4          | 11988.1     |
| 19    | 4  | 100   | 20000  | 5.34         | 12047.2     |
| 20    | 4  | 75    | 0      | 1.55         | 435194      |
| 21    | 4  | 75    | 2      | 3.28         | 208227.4    |
| 22    | 4  | 75    | 8      | 4.91         | 130909.4    |
| 23    | 4  | 75    | 15     | 5.01         | 121049.3    |
| 24    | 4  | 75    | 50     | 5.19         | 59971.9     |
| 25    | 4  | 75    | 100    | 4.5          | 49991.8     |
| 26    | 4  | 75    | 200    | 5.17         | 33824.5     |
| 27    | 4  | 75    | 300    | 4.59         | 29927.6     |
| 28    | 4  | 75    | 400    | 5.01         | 24042.5     |
| 29    | 4  | 75    | 500    | 4.3          | 24869.1     |
| 30    | 4  | 75    | 700    | 5.04         | 19587.5     |
| 31    | 4  | 75    | 1000   | 5.14         | 17329       |
| 32    | 4  | 75    | 1300   | 4.28         | 18993.2     |
| 33    | 4  | 75    | 1700   | 5.18         | 15149.3     |
| 34    | 4  | 75    | 2500   | 4.33         | 16887.3     |
| 35    | 4  | 75    | 3500   | 5.09         | 13984.4     |
| 36    | 4  | 75    | 5000   | 4.24         | 16190.7     |
| 37    | 4  | 75    | 9000   | 3.99         | 16606.5     |
| 38    | 4  | 75    | 20000  | 4.71         | 13827.6     |
| 39    | 4  | 50    | 0      | 1.54         | 514657.8    |
| 40    | 4  | 50    | 2      | 2.95         | 265696.3    |
| 41    | 4  | 50    | 8      | 5.18         | 139816.1    |
| 42    | 4  | 50    | 15     | 4.5          | 90399.8     |
| 43    | 4  | 50    | 50     | 5.36         | 39372.4     |
| 44    | 4  | 50    | 100    | 5.24         | 31467.2     |
| 45    | 4  | 50    | 200    | 5.28         | 23277       |
| 46    | 4  | 50    | 300    | 4.35         | 23134.5     |
| 47    | 4  | 50    | 400    | 5.23         | 17958.2     |
| 48    | 4  | 50    | 500    | 5.38         | 16501.2     |
| 49    | 4  | 50    | 700    | 5.57         | 14830.1     |
| 50    | 4  | 50    | 1000   | 4.86         | 15736.2     |
| 51    | 4  | 50    | 1300   | 5.15         | 14367.3     |
| 52    | 4  | 50    | 1700   | 5.32         | 13445.3     |
| 53    | 4  | 50    | 2500   | 5.12         | 13544.7     |
| 54    | 4  | 50    | 3500   | 5.12         | 13223.9     |
| 55    | 4  | 50    | 5000   | 5.39         | 12376       |
| 56    | 4  | 50    | 9000   | 5.6          | 11727.3     |
| 57    | 4  | 50    | 20000  | 5.27         | 12272.8     |
| 58    | 4  | 0     | 0      | 1.66         | 105518.4    |
| 59    | 4  | 0     | 2      | 3.81         | 60597.4     |
| 60    | 4  | 0     | 8      | 5.08         | 38392.7     |
| 61    | 4  | 0     | 15     | 4.81         | 23860.7     |
| 62    | 4  | 0     | 50     | 3.66         | 21380.5     |
| 63    | 4  | 0     | 100    | 3.51         | 20853.9     |
| 64    | 4  | 0     | 200    | 3.93         | 17740.7     |
| 65    | 4  | 0     | 300    | 4.34         | 15736.5     |
| 66    | 4  | 0     | 400    | 4.57         | 14767.4     |
| 67    | 4  | 0     | 500    | 4.69         | 14274.8     |
| 68    | 4  | 0     | 700    | 3.55         | 18526.3     |
| 69    | 4  | 0     | 1000   | 3.99         | 16401.6     |
