| job# | Read BW | Read Lat  | Write BW | Write Lat | %Read | IO Depth | Size (KB) | AVG BW  | AVG LAT     | UTIL        |
|------|---------|-----------|----------|-----------|-------|----------|-----------|---------|-------------|-------------|
| 1    | 1024    | 3965.84   | 0        | 0         | 100   | 1        | 16        | 1024    | 3965840     | 4061020160  |
| 2    | 546     | 6976.39   | 546      | 12262     | 75    | 1        | 16        | 546     | 5235358     | 2858505468  |
| 3    | 315     | 12656.985 | 945      | 18045     | 50    | 1        | 16        | 630     | 6337515     | 3992634450  |
| 4    | 0       | 0         | 16400    | 13227     | 0     | 1        | 16        | 16400   | 13227       | 216922800   |
| 5    | 1092    | 4815.75   | 0        | 0         | 100   | 4        | 16        | 1092    | 4815750     | 5258799000  |
| 6    | 945     | 5130.27   | 315      | 932966    | 75    | 4        | 16        | 787.5   | 4080944     | 3213743400  |
| 7    | 372     | 10037.168 | 1117     | 6717560   | 50    | 4        | 16        | 744.5   | 8377364     | 6236947498  |
| 8    | 0       | 0         | 16400    | 36573.25  | 0     | 4        | 16        | 16400   | 36573.25    | 599801300   |
| 9    | 1024    | 5598.36   | 0        | 0         | 100   | 16       | 16        | 1024    | 5598360     | 5732720640  |
| 10   | 1024    | 4530.04   | 341      | 43926     | 75    | 16       | 16        | 853.25  | 3408511.5   | 2908312437  |
| 11   | 630     | 6748.52   | 630      | 12700380  | 50    | 16       | 16        | 630     | 9724450     | 6126403500  |
| 12   | 0       | 0         | 16400    | 22402.25  | 0     | 16       | 16        | 16400   | 22402.25    | 367396900   |
| 13   | 2849    | 1397.48   | 0        | 0         | 100   | 1        | 64        | 2849    | 1397480     | 3981420520  |
| 14   | 2587    | 1571.47   | 862      | 10171.25  | 75    | 1        | 64        | 2155.75 | 1181145.313 | 2546254007  |
| 15   | 2185    | 1741.51   | 2185     | 13893.5   | 50    | 1        | 64        | 2185    | 877701.75   | 1917778324  |
| 16   | 0       | 0         | 65500    | 7672.88   | 0     | 1        | 64        | 65500   | 7672.88     | 502573640   |
| 17   | 2979    | 3087.45   | 0        | 0         | 100   | 4        | 64        | 2979    | 3087450     | 9197513550  |
| 18   | 2731    | 3020.25   | 910      | 1279970   | 75    | 4        | 64        | 2275.75 | 2585180     | 5883223385  |
| 19   | 2409    | 2523.67   | 1446     | 1178270   | 50    | 4        | 64        | 1927.5  | 1850970     | 3567744675  |
| 20   | 0       | 0         | 65500    | 32804.69  | 0     | 4        | 64        | 65500   | 32804.69    | 2148707195  |
| 21   | 3277    | 6097.41   | 0        | 0         | 100   | 16       | 64        | 3277    | 6097410     | 19981212570 |
| 22   | 2891    | 4468.62   | 964      | 6441300   | 75    | 16       | 64        | 2409.25 | 4961790     | 11954192558 |
| 23   | 2048    | 4151.7    | 2633     | 2738300   | 50    | 16       | 64        | 2340.5  | 3445000     | 8063022500  |
| 24   | 0       | 0         | 65500    | 22342.56  | 0     | 16       | 64        | 65500   | 22342.56    | 1463437680  |
| 25   | 5461    | 745.86    | 0        | 0         | 100   | 1        | 128       | 5461    | 745860      | 4073141460  |
| 26   | 4282    | 916.59    | 1676     | 7925.89   | 75    | 1        | 128       | 3630.5  | 689423.9725 | 2502953732  |
| 27   | 3234    | 1177.44   | 3665     | 13926.18  | 50    | 1        | 128       | 3449.5  | 595683.09   | 2054808819  |
| 28   | 0       | 0         | 131000   | 6889.06   | 0     | 1        | 128       | 131000  | 6889.06     | 902466860   |
| 29   | 4855    | 2206.78   | 0        | 0         | 100   | 4        | 128       | 4855    | 2206780     | 10713916900 |
| 30   | 4096    | 2147.67   | 1365     | 1311840   | 75    | 4        | 128       | 3413.25 | 1938712.5   | 6617310441  |
| 31   | 3891    | 1963.42   | 2662     | 921550    | 50    | 4        | 128       | 3276.5  | 1442485     | 4726302103  |
| 32   | 0       | 0         | 131000   | 25266.38  | 0     | 4        | 128       | 131000  | 25266.38    | 3309895780  |
| 33   | 5461    | 5860.01   | 0        | 0         | 100   | 16       | 128       | 5461    | 5860010     | 32001514610 |
| 34   | 4282    | 5458.57   | 1676     | 4197070   | 75    | 16       | 128       | 3630.5  | 5143195     | 18672369448 |
| 35   | 4096    | 4412.48   | 2458     | 4512480   | 50    | 16       | 128       | 3277    | 4462480     | 14623546960 |
| 36   | 0       | 0         | 131000   | 27488.91  | 0     | 16       | 128       | 131000  | 27488.91    | 3601047210  |
